id,student_id,category,created_at
265e2e87-76b8-4b31-8a82-064e3e055e87,reccNNiDipeooQJsi,On Site Interview,2018-10-09T18:08:14
3a6afd03-9e80-411d-ad45-74214ee5f687,reccNNiDipeooQJsi,On Site Interview,2018-10-09T18:13:28
4e771ef6-fdfd-4a9a-ab7e-7319e36b7359,reccNNiDipeooQJsi,Apply,2018-10-09T18:15:38
539b7d07-af57-41de-ae5b-c0d1ab79b358,reccNNiDipeooQJsi,Apply,2018-10-09T18:23:31
addab7c3-36fb-4554-94d7-c34d1d94e985,reccNNiDipeooQJsi,Apply,2018-10-09T18:28:10
3c8822b1-de87-4d0d-8edc-05d57fafea98,reccNNiDipeooQJsi,Apply,2018-10-09T19:43:53
9b0d6cbd-20f3-40f4-92de-42a8f30d74f6,reccNNiDipeooQJsi,Apply,2018-10-10T03:04:32
b1884c83-0b46-46b9-9ae6-20998cc6f0a1,reccNNiDipeooQJsi,Apply,2018-10-10T03:10:10
2463a78a-fdd7-49ae-84b5-afd0a7d1fc36,reccNNiDipeooQJsi,Apply,2018-10-10T03:17:04
789fce02-d91b-4aac-863f-b6c214ab6730,reccNNiDipeooQJsi,Apply,2018-10-10T03:20:10
40dac62e-2dfb-46fa-9458-5fb85f1b3c9b,reccNNiDipeooQJsi,Apply,2018-10-10T03:25:37
90885215-2687-4129-8d18-24bc952d0bfd,reccNNiDipeooQJsi,Apply,2018-10-10T03:28:08
d398fa5e-ec1f-4663-9067-85dd7c8fdbd7,reccNNiDipeooQJsi,On Site Interview,2018-10-10T06:13:37
d47d023c-ce02-48fc-ad12-b9339af7b994,reccNNiDipeooQJsi,Apply,2018-10-10T06:48:36
54d15361-ab6f-487f-8bb2-ef925c5697b8,reccNNiDipeooQJsi,Apply,2018-10-10T06:52:52
a507aa76-024f-484c-b6a1-a2a769d09b26,reccNNiDipeooQJsi,Apply,2018-10-10T06:54:03
df17da19-c75f-4a28-b41a-3bf76730720c,reccNNiDipeooQJsi,Apply,2018-10-11T01:12:09
e8a3fa46-1c94-4117-9705-74739328b235,reccNNiDipeooQJsi,Apply,2018-10-11T01:13:03
81492aac-1aac-40c4-8ab5-2f056ca8acbf,reccNNiDipeooQJsi,Apply,2018-10-11T01:18:38
002ef9cc-532c-4b81-8295-3e9c448a1fe9,reccNNiDipeooQJsi,Apply,2018-10-11T01:26:36
a9d60dea-0f57-4499-a11a-12b3b2da7ab4,reccNNiDipeooQJsi,Apply,2018-10-11T01:42:22
916d9fda-100f-49bb-9fec-2769b605c712,reccNNiDipeooQJsi,Apply,2018-10-11T01:49:53
a48d9aa8-f3e8-4035-b18f-cbe9d9b4c33c,reccNNiDipeooQJsi,Apply,2018-10-11T01:52:45
600bd358-d705-4122-9c0a-1e090ee0d3e9,reccNNiDipeooQJsi,Apply,2018-10-11T01:55:52
51e9cecd-5d96-4865-af6e-99fbfed965fa,reccNNiDipeooQJsi,On Site Interview,2018-10-11T06:06:39
4c46b458-97c8-48c6-aedc-ce573502e7f0,reccNNiDipeooQJsi,Offer Received,2018-10-11T13:59:16
1d24656a-ef5a-4792-8d1d-53cfe4ed6fd1,reccNNiDipeooQJsi,On Site Interview,2018-10-11T16:11:18
dd3c1e90-0de9-4c48-87e6-51751a0c8b2e,reccNNiDipeooQJsi,Apply,2018-10-12T01:47:03
e709e7d6-a156-4984-8b1b-55b579ea0dfc,reccNNiDipeooQJsi,Apply,2018-10-12T02:10:46
e3932c9e-7140-47d3-baf0-b6f7164581fd,reccNNiDipeooQJsi,Apply,2018-10-12T02:21:16
015822cb-1905-44db-9c51-2f680e3ea513,reccNNiDipeooQJsi,Apply,2018-10-12T02:41:33
d3b0c65b-e4cb-4a71-b35c-6b2b194d69fa,reccNNiDipeooQJsi,Apply,2018-10-12T02:43:09
0196a982-5be7-43a8-86be-94895c9682c1,reccNNiDipeooQJsi,Apply,2018-10-12T02:44:01
5dd39fad-411c-4490-9166-e7a161991e4b,reccNNiDipeooQJsi,Apply,2018-10-12T02:45:27
7404f184-f403-4d83-9200-2702cba048b5,reccNNiDipeooQJsi,Apply,2018-10-12T02:48:03
