id,last_step,country,gender,age,created_at
145816,challenges_results_passed,Mexico,man,26-30,2021-01-01T00:40:46.475
145817,unlocked_challenges,Romania,man,18-20,2021-01-01T01:22:58.646
145818,completed_profile,Mexico,man,26-30,2021-01-01T02:16:15.823
145819,completed_profile,Dominican Republic,man,36-40,2021-01-01T03:44:14.129
145820,no_time_commitment,Colombia,woman,26-30,2021-01-01T04:56:15.345
145821,completed_profile,Honduras,man,21-25,2021-01-01T06:30:28.303
145822,submitted_equipment,Peru,man,21-25,2021-01-01T06:30:40.992
145823,completed_profile,Guatemala,woman,26-30,2021-01-01T06:33:18.565
145824,completed_profile,Macedonia,not_answer,26-30,2021-01-01T08:53:41.059
145825,completed_profile,Colombia,man,31-35,2021-01-01T09:36:51.496
145826,completed_profile,Bulgaria,man,21-25,2021-01-01T09:54:42.464
145827,completed_profile,Argentina,man,18-20,2021-01-01T10:10:51.88
145828,low_english_level,Algeria,man,26-30,2021-01-01T10:11:23.266
145829,completed_profile,Albania,woman,18-20,2021-01-01T10:48:37.193
145830,completed_profile,Panama,man,26-30,2021-01-01T11:41:40.982
145831,completed_profile,Venezuela,man,26-30,2021-01-01T12:15:48.919
145832,no_financial_support,Colombia,man,31-35,2021-01-01T12:41:41.549
145833,completed_profile,Turkey,man,36-40,2021-01-01T13:16:11.433
145834,completed_profile,Spain,woman,31-35,2021-01-01T13:31:05.555
145835,completed_profile,Bulgaria,woman,18-20,2021-01-01T13:35:01.995
145836,completed_profile,Macedonia,man,21-25,2021-01-01T13:59:40.632
145837,completed_profile,China,man,18-20,2021-01-01T14:16:28.155
145838,signed_up,,,,2021-01-01T14:46:14.667
145839,completed_profile,Dominican Republic,man,26-30,2021-01-01T14:47:49.624
145840,completed_profile,Uruguay,woman,21-25,2021-01-01T14:51:47.989
145841,completed_profile,Italy,woman,21-25,2021-01-01T14:53:42.339
145842,submitted_equipment,Romania,man,21-25,2021-01-01T15:23:42.078
145843,completed_challenges,Venezuela,man,21-25,2021-01-01T15:30:59.854
145844,submitted_equipment,Romania,man,18-20,2021-01-01T15:39:53.386
145845,submitted_program_schedule,France,man,26-30,2021-01-01T15:53:15.852
145846,submitted_check_in_form,Nigeria,man,26-30,2021-01-01T15:56:05.371
145847,submitted_program_schedule,Argentina,man,26-30,2021-01-01T16:01:27.617
145848,completed_profile,Nigeria,woman,26-30,2021-01-01T16:09:44.536
145849,completed_profile,Mexico,man,21-25,2021-01-01T16:17:58.862
145850,completed_profile,Jamaica,woman,21-25,2021-01-01T16:20:26.491
145851,completed_profile,Italy,man,21-25,2021-01-01T16:21:08.452
145852,submitted_program_schedule,Costa Rica,man,21-25,2021-01-01T16:22:10.311
145853,completed_profile,Croatia,man,18-20,2021-01-01T16:26:23.469
145854,signed_up,,,,2021-01-01T16:27:38.942
